x,time,u
0.000000,0.100000,0.000000
0.010000,0.100000,0.001212
0.020000,0.100000,0.002458
0.030000,0.100000,0.003771
0.040000,0.100000,0.005187
0.050000,0.100000,0.006741
0.060000,0.100000,0.008469
0.070000,0.100000,0.010410
0.080000,0.100000,0.012601
0.090000,0.100000,0.015083
0.100000,0.100000,0.017899
0.110000,0.100000,0.021090
0.120000,0.100000,0.024700
0.130000,0.100000,0.028774
0.140000,0.100000,0.033356
0.150000,0.100000,0.038490
0.160000,0.100000,0.044220
0.170000,0.100000,0.050587
0.180000,0.100000,0.057629
0.190000,0.100000,0.065382
0.200000,0.100000,0.073877
0.210000,0.100000,0.083137
0.220000,0.100000,0.093183
0.230000,0.100000,0.104023
0.240000,0.100000,0.115660
0.250000,0.100000,0.128084
0.260000,0.100000,0.141275
0.270000,0.100000,0.155203
0.280000,0.100000,0.169824
0.290000,0.100000,0.185080
0.300000,0.100000,0.200901
0.310000,0.100000,0.217205
0.320000,0.100000,0.233894
0.330000,0.100000,0.250860
0.340000,0.100000,0.267983
0.350000,0.100000,0.285131
0.360000,0.100000,0.302166
0.370000,0.100000,0.318940
0.380000,0.100000,0.335301
0.390000,0.100000,0.351094
0.400000,0.100000,0.366162
0.410000,0.100000,0.380352
0.420000,0.100000,0.393515
0.430000,0.100000,0.405506
0.440000,0.100000,0.416194
0.450000,0.100000,0.425458
0.460000,0.100000,0.433190
0.470000,0.100000,0.439301
0.480000,0.100000,0.443719
0.490000,0.100000,0.446391
0.500000,0.100000,0.447285
0.510000,0.100000,0.446391
0.520000,0.100000,0.443719
0.530000,0.100000,0.439301
0.540000,0.100000,0.433190
0.550000,0.100000,0.425457
0.560000,0.100000,0.416194
0.570000,0.100000,0.405506
0.580000,0.100000,0.393514
0.590000,0.100000,0.380352
0.600000,0.100000,0.366162
0.610000,0.100000,0.351094
0.620000,0.100000,0.335301
0.630000,0.100000,0.318940
0.640000,0.100000,0.302166
0.650000,0.100000,0.285131
0.660000,0.100000,0.267982
0.670000,0.100000,0.250860
0.680000,0.100000,0.233893
0.690000,0.100000,0.217204
0.700000,0.100000,0.200900
0.710000,0.100000,0.185078
0.720000,0.100000,0.169822
0.730000,0.100000,0.155201
0.740000,0.100000,0.141272
0.750000,0.100000,0.128079
0.760000,0.100000,0.115653
0.770000,0.100000,0.104015
0.780000,0.100000,0.093172
0.790000,0.100000,0.083123
0.800000,0.100000,0.073858
0.810000,0.100000,0.065358
0.820000,0.100000,0.057598
0.830000,0.100000,0.050547
0.840000,0.100000,0.044169
0.850000,0.100000,0.038426
0.860000,0.100000,0.033274
0.870000,0.100000,0.028671
0.880000,0.100000,0.024570
0.890000,0.100000,0.020928
0.900000,0.100000,0.017697
0.910000,0.100000,0.014833
0.920000,0.100000,0.012291
0.930000,0.100000,0.010028
0.940000,0.100000,0.008002
0.950000,0.100000,0.006170
0.960000,0.100000,0.004494
0.970000,0.100000,0.002932
0.980000,0.100000,0.001447
0.990000,0.100000,0.000000
